X,Y,Z
88.7233,-0.0000,-0.0292
88.6723,2.9839,-0.0292
88.5222,5.9644,-0.0292
88.2713,8.9381,-0.0292
87.9207,11.9018,-0.0292
87.4712,14.8520,-0.0292
86.9216,17.7853,-0.0292
86.2747,20.6986,-0.0292
85.5296,23.5884,-0.0292
84.6877,26.4515,-0.0292
83.7509,29.2849,-0.0292
82.7179,32.0848,-0.0292
81.5922,34.8486,-0.0292
80.3744,37.5731,-0.0292
79.0648,40.2547,-0.0292
77.6665,42.8912,-0.0292
76.1801,45.4790,-0.0292
74.6072,48.0151,-0.0292
72.9505,50.4973,-0.0292
71.2108,52.9221,-0.0292
69.3905,55.2869,-0.0292
67.4923,57.5897,-0.0292
65.5170,59.8268,-0.0292
63.4677,61.9962,-0.0292
61.3472,64.0961,-0.0292
59.1566,66.1227,-0.0292
56.8992,68.0747,-0.0292
54.5780,69.9503,-0.0292
52.1943,71.7458,-0.0292
49.7518,73.4605,-0.0292
47.2534,75.0928,-0.0292
44.7009,76.6390,-0.0292
42.0981,78.0989,-0.0292
39.4480,79.4712,-0.0292
36.7527,80.7523,-0.0292
34.0160,81.9427,-0.0292
31.2412,83.0410,-0.0292
28.4305,84.0441,-0.0292
25.5879,84.9527,-0.0292
22.7165,85.7659,-0.0292
19.8191,86.4806,-0.0292
16.8994,87.0983,-0.0292
13.9607,87.6180,-0.0292
11.0060,88.0373,-0.0292
8.0390,88.3577,-0.0292
5.0628,88.5786,-0.0292
2.0809,88.6981,-0.0292
-0.9033,88.7181,-0.0292
-3.8865,88.6379,-0.0292
-6.8653,88.4565,-0.0292
-9.8364,88.1758,-0.0292
-12.7963,87.7954,-0.0292
-15.7417,87.3148,-0.0292
-18.6694,86.7363,-0.0292
-21.5759,86.0595,-0.0292
-24.4579,85.2848,-0.0292
-27.3124,84.4144,-0.0292
-30.1359,83.4480,-0.0292
-32.9253,82.3869,-0.0292
-35.6776,81.2335,-0.0292
-38.3893,79.9874,-0.0292
-41.0576,78.6509,-0.0292
-43.6798,77.2261,-0.0292
-46.2521,75.7129,-0.0292
-48.7722,74.1145,-0.0292
-51.2377,72.4330,-0.0292
-53.6442,70.6682,-0.0292
-55.9906,68.8241,-0.0292
-58.2739,66.9025,-0.0292
-60.4906,64.9044,-0.0292
-62.6393,62.8334,-0.0292
-64.7173,60.6914,-0.0292
-66.7214,58.4802,-0.0292
-68.6507,56.2034,-0.0292
-70.5021,53.8628,-0.0292
-72.2734,51.4610,-0.0292
-73.9636,49.0015,-0.0292
-75.5696,46.4862,-0.0292
-77.0900,43.9182,-0.0292
-78.5240,41.3010,-0.0292
-79.8681,38.6366,-0.0292
-81.1223,35.9286,-0.0292
-82.2855,33.1803,-0.0292
-83.3541,30.3939,-0.0292
-84.3292,27.5734,-0.0292
-85.2093,24.7218,-0.0292
-85.9919,21.8420,-0.0292
-86.6781,18.9376,-0.0292
-87.2662,16.0118,-0.0292
-87.7549,13.0678,-0.0292
-88.1451,10.1091,-0.0292
-88.4352,7.1390,-0.0292
-88.6249,4.1607,-0.0292
-88.7152,1.1778,-0.0292
-88.7043,-1.8065,-0.0292
-88.5932,-4.7887,-0.0292
-88.3827,-7.7656,-0.0292
-88.0710,-10.7336,-0.0292
-87.6601,-13.6895,-0.0292
-87.1508,-16.6300,-0.0292
-86.5415,-19.5514,-0.0292
-85.8351,-22.4509,-0.0292
-85.0319,-25.3251,-0.0292
-84.1315,-28.1703,-0.0292
-83.1368,-30.9840,-0.0292
-82.0479,-33.7625,-0.0292
-80.8656,-36.5026,-0.0292
-79.5925,-39.2018,-0.0292
-78.2290,-41.8564,-0.0292
-76.7768,-44.4635,-0.0292
-75.2385,-47.0207,-0.0292
-73.6142,-49.5243,-0.0292
-71.9069,-51.9720,-0.0292
-70.1189,-54.3613,-0.0292
-68.2505,-56.6884,-0.0292
-66.3053,-58.9517,-0.0292
-64.2857,-61.1488,-0.0292
-62.1923,-63.2757,-0.0292
-60.0291,-65.3316,-0.0292
-57.7983,-67.3138,-0.0292
-55.5013,-69.2191,-0.0292
-53.1421,-71.0467,-0.0292
-50.7228,-72.7940,-0.0292
-48.2457,-74.4583,-0.0292
-45.7144,-76.0391,-0.0292
-43.1312,-77.5334,-0.0292
-40.4991,-78.9399,-0.0292
-37.8216,-80.2577,-0.0292
-35.1009,-81.4841,-0.0292
-32.3405,-82.6182,-0.0292
-29.5438,-83.6597,-0.0292
-26.7134,-84.6056,-0.0292
-23.8528,-85.4560,-0.0292
-20.9655,-86.2106,-0.0292
-18.0541,-86.8663,-0.0292
-15.1225,-87.4243,-0.0292
-12.1738,-87.8841,-0.0292
-9.2112,-88.2431,-0.0292
-6.2382,-88.5031,-0.0292
-3.2582,-88.6633,-0.0292
-0.2745,-88.7221,-0.0292
2.7095,-88.6813,-0.0292
5.6905,-88.5404,-0.0292
8.6650,-88.2984,-0.0292
11.6297,-87.9572,-0.0292
14.5813,-87.5166,-0.0292
17.5163,-86.9762,-0.0292
20.4316,-86.3382,-0.0292
23.3237,-85.6024,-0.0292
26.1893,-84.7691,-0.0292
29.0255,-83.8406,-0.0292
31.8288,-82.8172,-0.0292
34.5959,-81.6995,-0.0292
37.3242,-80.4900,-0.0292
40.0101,-79.1893,-0.0292
42.6505,-77.7985,-0.0292
45.2431,-76.3204,-0.0292
47.7842,-74.7557,-0.0292
50.2711,-73.1060,-0.0292
52.7016,-71.3743,-0.0292
55.0722,-69.5615,-0.0292
57.3803,-67.6697,-0.0292
59.6239,-65.7019,-0.0292
61.7998,-63.6594,-0.0292
63.9055,-61.5448,-0.0292
65.9396,-59.3611,-0.0292
67.8985,-57.1097,-0.0292
69.7806,-54.7937,-0.0292
71.5844,-52.4162,-0.0292
73.3064,-49.9789,-0.0292
74.9457,-47.4851,-0.0292
76.5009,-44.9381,-0.0292
77.9684,-42.3395,-0.0292
79.3482,-39.6934,-0.0292
80.6388,-37.0026,-0.0292
81.8370,-34.2694,-0.0292
82.9434,-31.4978,-0.0292
83.9560,-28.6905,-0.0292
84.8730,-25.8506,-0.0292
85.6949,-22.9817,-0.0292
86.4190,-20.0866,-0.0292
87.0456,-17.1688,-0.0292
87.5743,-14.2317,-0.0292
88.0027,-11.2783,-0.0292
88.3327,-8.3123,-0.0292
88.5620,-5.3368,-0.0292
88.6914,-2.3553,-0.0292
88.7233,-0.0000,-0.0292
88.7233,-0.0000,-0.0292
88.6522,3.0362,-0.0303
88.4784,6.0676,-0.0315
