X,Y,Z
88.7233,-0.0000,-0.0292
88.7101,1.4921,-0.0292
88.6723,2.9839,-0.0292
88.6100,4.4748,-0.0292
88.5222,5.9644,-0.0292
88.4090,7.4523,-0.0292
88.2713,8.9381,-0.0292
88.1090,10.4215,-0.0292
87.9207,11.9018,-0.0292
87.7080,13.3787,-0.0292
87.4712,14.8520,-0.0292
87.2087,16.3209,-0.0292
86.9216,17.7853,-0.0292
86.6106,19.2447,-0.0292
86.2747,20.6986,-0.0292
85.9140,22.1466,-0.0292
85.5296,23.5884,-0.0292
85.1211,25.0236,-0.0292
84.6877,26.4515,-0.0292
84.2309,27.8721,-0.0292
83.7509,29.2849,-0.0292
83.2459,30.6891,-0.0292
82.7179,32.0848,-0.0292
82.1672,33.4716,-0.0292
81.5922,34.8486,-0.0292
80.9944,36.2158,-0.0292
80.3744,37.5731,-0.0292
79.7308,38.9194,-0.0292
79.0648,40.2547,-0.0292
78.3770,41.5790,-0.0292
77.6665,42.8912,-0.0292
76.9339,44.1911,-0.0292
76.1801,45.4790,-0.0292
75.4045,46.7537,-0.0292
74.6072,48.0151,-0.0292
73.7894,49.2632,-0.0292
72.9505,50.4973,-0.0292
72.0906,51.7168,-0.0292
71.2108,52.9221,-0.0292
70.3109,54.1124,-0.0292
69.3905,55.2869,-0.0292
68.4510,56.4463,-0.0292
67.4923,57.5897,-0.0292
66.5138,58.7163,-0.0292
65.5170,59.8268,-0.0292
64.5018,60.9204,-0.0292
63.4677,61.9962,-0.0292
62.4162,63.0550,-0.0292
61.3472,64.0961,-0.0292
60.2602,65.1183,-0.0292
59.1566,66.1227,-0.0292
58.0365,67.1086,-0.0292
56.8992,68.0747,-0.0292
55.7464,69.0221,-0.0292
54.5780,69.9503,-0.0292
53.3934,70.8578,-0.0292
52.1943,71.7458,-0.0292
50.9806,72.6139,-0.0292
49.7518,73.4605,-0.0292
48.5093,74.2870,-0.0292
47.2534,75.0928,-0.0292
45.9834,75.8763,-0.0292
44.7009,76.6390,-0.0292
43.4059,77.3805,-0.0292
42.0981,78.0989,-0.0292
40.7787,78.7960,-0.0292
39.4480,79.4712,-0.0292
38.1056,80.1228,-0.0292
36.7527,80.7523,-0.0292
35.3896,81.3596,-0.0292
34.0160,81.9427,-0.0292
32.6331,82.5032,-0.0292
31.2412,83.0410,-0.0292
29.8399,83.5540,-0.0292
28.4305,84.0441,-0.0292
27.0133,84.5110,-0.0292
25.5879,84.9527,-0.0292
24.1555,85.3710,-0.0292
22.7165,85.7659,-0.0292
21.2707,86.1351,-0.0292
19.8191,86.4806,-0.0292
18.3620,86.8024,-0.0292
16.8994,87.0983,-0.0292
15.4322,87.3701,-0.0292
13.9607,87.6180,-0.0292
12.4851,87.8398,-0.0292
11.0060,88.0373,-0.0292
9.5239,88.2106,-0.0292
8.0390,88.3577,-0.0292
6.5518,88.4803,-0.0292
5.0628,88.5786,-0.0292
3.5724,88.6507,-0.0292
2.0809,88.6981,-0.0292
0.5889,88.7212,-0.0292
-0.9033,88.7181,-0.0292
-2.3952,88.6902,-0.0292
-3.8865,88.6379,-0.0292
-5.3767,88.5596,-0.0292
-6.8653,88.4565,-0.0292
-8.3521,88.3291,-0.0292
-9.8364,88.1758,-0.0292
-11.3179,87.9977,-0.0292
-12.7963,87.7954,-0.0292
-14.2710,87.5675,-0.0292
-15.7417,87.3148,-0.0292
-17.2080,87.0382,-0.0292
-18.6694,86.7363,-0.0292
-20.1254,86.4098,-0.0292
-21.5759,86.0595,-0.0292
-23.0202,85.6844,-0.0292
-24.4579,85.2848,-0.0292
-25.8889,84.8617,-0.0292
-27.3124,84.4144,-0.0292
-28.7281,83.9427,-0.0292
-30.1359,83.4480,-0.0292
-31.5352,82.9295,-0.0292
-32.9253,82.3869,-0.0292
-34.3063,81.8218,-0.0292
-35.6776,81.2335,-0.0292
-37.0386,80.6215,-0.0292
-38.3893,79.9874,-0.0292
-39.7293,79.3308,-0.0292
-41.0576,78.6509,-0.0292
-42.3746,77.9494,-0.0292
-43.6798,77.2261,-0.0292
-44.9721,76.4800,-0.0292
-46.2521,75.7129,-0.0292
-47.5192,74.9249,-0.0292
-48.7722,74.1145,-0.0292
-50.0118,73.2838,-0.0292
-51.2377,72.4330,-0.0292
-52.4482,71.5604,-0.0292
-53.6442,70.6682,-0.0292
-54.8256,69.7565,-0.0292
-55.9906,68.8241,-0.0292
-57.1401,67.8727,-0.0292
-58.2739,66.9025,-0.0292
-59.3905,65.9126,-0.0292
-60.4906,64.9044,-0.0292
-61.5740,63.8783,-0.0292
-62.6393,62.8334,-0.0292
-63.6870,61.7709,-0.0292
-64.7173,60.6914,-0.0292
-65.7287,59.5942,-0.0292
-66.7214,58.4802,-0.0292
-67.6958,57.3501,-0.0292
-68.6507,56.2034,-0.0292
-69.5860,55.0407,-0.0292
-70.5021,53.8628,-0.0292
-71.3980,52.6695,-0.0292
-72.2734,51.4610,-0.0292
-73.1289,50.2384,-0.0292
-73.9636,49.0015,-0.0292
-74.7769,47.7504,-0.0292
-75.5696,46.4862,-0.0292
-76.3410,45.2088,-0.0292
-77.0900,43.9182,-0.0292
-77.8179,42.6156,-0.0292
-78.5240,41.3010,-0.0292
-79.2070,39.9743,-0.0292
-79.8681,38.6366,-0.0292
-80.5072,37.2881,-0.0292
-81.1223,35.9286,-0.0292
-81.7151,34.5592,-0.0292
-82.2855,33.1803,-0.0292
-82.8312,31.7914,-0.0292
-83.3541,30.3939,-0.0292
-83.8541,28.9879,-0.0292
-84.3292,27.5734,-0.0292
-84.7809,26.1512,-0.0292
-85.2093,24.7218,-0.0292
-85.6126,23.2851,-0.0292
-85.9919,21.8420,-0.0292
-86.3477,20.3928,-0.0292
-86.6781,18.9376,-0.0292
-86.9841,17.4771,-0.0292
-87.2662,16.0118,-0.0292
-87.5230,14.5419,-0.0292
-87.7549,13.0678,-0.0292
-87.9626,11.5901,-0.0292
-88.1451,10.1091,-0.0292
-88.3022,8.6252,-0.0292
-88.4352,7.1390,-0.0292
-88.5428,5.6507,-0.0292
-88.6249,4.1607,-0.0292
-88.6826,2.6696,-0.0292
-88.7152,1.1778,-0.0292
-88.7219,-0.3144,-0.0292
-88.7043,-1.8065,-0.0292
-88.6618,-3.2981,-0.0292
-88.5932,-4.7887,-0.0292
-88.5003,-6.2780,-0.0292
-88.3827,-7.7656,-0.0292
-88.2389,-9.2509,-0.0292
-88.0710,-10.7336,-0.0292
-87.8786,-12.2133,-0.0292
-87.6601,-13.6895,-0.0292
-87.4175,-15.1618,-0.0292
-87.1508,-16.6300,-0.0292
-86.8581,-18.0932,-0.0292
-86.5415,-19.5514,-0.0292
-86.2011,-21.0043,-0.0292
-85.8351,-22.4509,-0.0292
-85.4453,-23.8913,-0.0292
-85.0319,-25.3251,-0.0292
-84.5936,-26.7515,-0.0292
-84.1315,-28.1703,-0.0292
-83.6464,-29.5815,-0.0292
-83.1368,-30.9840,-0.0292
-82.6037,-32.3777,-0.0292
-82.0479,-33.7625,-0.0292
-81.4683,-35.1376,-0.0292
-80.8656,-36.5026,-0.0292
-80.2406,-37.8576,-0.0292
-79.5925,-39.2018,-0.0292
-78.9216,-40.5346,-0.0292
-78.2290,-41.8564,-0.0292
-77.5141,-43.1662,-0.0292
-76.7768,-44.4635,-0.0292
-76.0184,-45.7486,-0.0292
-75.2385,-47.0207,-0.0292
-74.4366,-48.2792,-0.0292
-73.6142,-49.5243,-0.0292
-72.7713,-50.7556,-0.0292
-71.9069,-51.9720,-0.0292
-71.0227,-53.1740,-0.0292
-70.1189,-54.3613,-0.0292
-69.1942,-55.5325,-0.0292
