X,Y,Z
88.2414,0.0,-1.0010
88.2414,1.0262,-1.0010
86.1499,1.0262,-1.9729
85.9667,83.1454,-1.9775
85.4871,84.4419,-1.9763
84.7926,85.2574,-1.9738
83.6873,85.8149,-1.9787
82.1225,86.1236,-1.9738
81.4737,86.1499,-1.9729
-83.1454,85.9667,-1.9775
-84.4419,85.4871,-1.9763
-85.2574,84.7926,-1.9738
-85.8149,83.6873,-1.9787
-86.1236,82.1225,-1.9738
-86.1499,81.4737,-1.9729
-85.9667,-83.1454,-1.9775
-85.4871,-84.4419,-1.9763
-84.7926,-85.2574,-1.9738
-83.6873,-85.8149,-1.9787
-82.1225,-86.1236,-1.9738
-81.4737,-86.1499,-1.9729
82.1225,-86.1236,-1.9738
83.6873,-85.8149,-1.9787
84.7926,-85.2574,-1.9738
85.4871,-84.4419,-1.9763
85.9667,-83.1454,-1.9775
86.1499,-78.9737,-1.9729
86.1499,1.0262,-1.9729
84.6249,1.0262,-2.9448
84.4572,82.9012,-2.9530
84.1142,83.7693,-2.9479
83.7016,84.1548,-2.9494
82.7534,84.4921,-2.9520
81.4737,84.6249,-2.9448
-82.9012,84.4572,-2.9530
-83.7693,84.1142,-2.9479
-84.1548,83.7016,-2.9494
-84.4921,82.7534,-2.9520
-84.6249,81.4737,-2.9448
-84.4572,-82.9012,-2.9530
-84.1142,-83.7693,-2.9479
-83.7016,-84.1548,-2.9494
-82.7534,-84.4921,-2.9520
-81.4737,-84.6249,-2.9448
82.7534,-84.4921,-2.9520
83.7016,-84.1548,-2.9494
84.1142,-83.7693,-2.9479
84.4572,-82.9012,-2.9530
84.6249,-78.9737,-2.9448
84.6249,1.0262,-2.9448
83.4121,1.0262,-3.9167
83.2644,82.6724,-3.9290
83.1478,83.0111,-3.9265
83.1513,83.2106,-3.8167
83.0111,83.1478,-3.9265
82.1939,83.3623,-3.9224
81.4737,83.4121,-3.9167
-82.6724,83.2644,-3.9290
-83.0111,83.1478,-3.9265
-83.2106,83.1513,-3.8167
-83.1478,83.0111,-3.9265
-83.3623,82.1939,-3.9224
-83.4121,81.4737,-3.9167
-83.2644,-82.6724,-3.9290
-83.1478,-83.0111,-3.9265
-83.1513,-83.2106,-3.8167
-83.0111,-83.1478,-3.9265
-82.1939,-83.3623,-3.9224
-81.4737,-83.4121,-3.9167
82.1939,-83.3623,-3.9224
83.2106,-83.1513,-3.8167
83.2644,-82.6724,-3.9290
83.4121,-78.9737,-3.9167
83.4121,1.0262,-3.9167
82.4108,1.0262,-4.8885
82.3672,82.0837,-4.8964
82.7618,82.6545,-4.3743
82.6867,82.7763,-4.3491
82.1502,82.4191,-4.8324
82.0836,82.3672,-4.8964
81.4737,82.4108,-4.8885
-82.0837,82.3672,-4.8964
-82.6545,82.7618,-4.3743
-82.7763,82.6867,-4.3491
-82.4191,82.1502,-4.8324
-82.3672,82.0836,-4.8964
-82.4108,81.4737,-4.8885
-82.3672,-82.0837,-4.8964
-82.7618,-82.6545,-4.3743
-82.6867,-82.7763,-4.3491
-82.1502,-82.4191,-4.8324
-82.0836,-82.3672,-4.8964
-81.4737,-82.4108,-4.8885
82.0837,-82.3672,-4.8964
82.6545,-82.7618,-4.3743
82.7763,-82.6867,-4.3491
82.4191,-82.1502,-4.8324
82.4108,-81.4737,-4.8885
82.4108,1.0262,-4.8885
81.6865,1.1582,-5.7120
82.2293,82.0454,-5.0379
82.3603,82.3689,-4.7921
81.9963,82.1958,-5.0826
81.3418,81.6865,-5.7120
-82.0454,82.2293,-5.0379
-82.3689,82.3603,-4.7921
-82.1958,81.9963,-5.0826
-81.6865,81.3418,-5.7120
-82.2293,-82.0454,-5.0379
-82.3603,-82.3689,-4.7921
-81.9963,-82.1958,-5.0826
-81.3418,-81.6865,-5.7120
82.0454,-82.2293,-5.0379
82.3689,-82.3603,-4.7921
82.1958,-81.9963,-5.0826
81.6865,-81.3418,-5.7120
81.6865,1.1582,-5.7120
81.2669,-0.9222,-6.2120
81.8098,81.6258,-5.5379
81.9407,81.9494,-5.2921
81.5768,81.7763,-5.5826
80.9222,81.2669,-6.2120
-81.6258,81.8098,-5.5379
-81.9494,81.9407,-5.2921
-81.7763,81.5768,-5.5826
-81.2669,80.9222,-6.2120
-81.8098,-81.6258,-5.5379
-81.9407,-81.9494,-5.2921
-81.5768,-81.7763,-5.5826
-80.9222,-81.2669,-6.2120
81.6258,-81.8098,-5.5379
81.9494,-81.9407,-5.2921
81.7763,-81.5768,-5.5826
81.2669,-80.9222,-6.2120
81.2669,-0.9222,-6.2120
80.8474,-0.5027,-6.7120
81.3902,81.2063,-6.0379
81.5212,81.5298,-5.7921
81.1572,81.3567,-6.0826
80.5027,80.8474,-6.7120
-81.2063,81.3902,-6.0379
-81.5298,81.5212,-5.7921
-81.3567,81.1572,-6.0826
-80.8474,80.5027,-6.7120
-81.3902,-81.2063,-6.0379
-81.5212,-81.5298,-5.7921
-81.1572,-81.3567,-6.0826
-80.5027,-80.8474,-6.7120
81.2063,-81.3902,-6.0379
81.5298,-81.5212,-5.7921
81.3567,-81.1572,-6.0826
80.8474,-80.5027,-6.7120
80.8474,-0.5027,-6.7120
80.4278,-0.0831,-7.2120
80.9706,80.7867,-6.5379
81.1016,81.1103,-6.2921
80.7377,80.9372,-6.5826
80.0831,80.4278,-7.2120
-80.7867,80.9706,-6.5379
-81.1103,81.1016,-6.2921
-80.9372,80.7377,-6.5826
-80.4278,80.0831,-7.2120
-80.9706,-80.7867,-6.5379
-81.1016,-81.1103,-6.2921
-80.7377,-80.9372,-6.5826
-80.0831,-80.4278,-7.2120
80.7867,-80.9706,-6.5379
81.1103,-81.1016,-6.2921
80.9372,-80.7377,-6.5826
80.4278,-80.0831,-7.2120
80.4278,-0.0831,-7.2120
80.0083,0.3364,-7.7120
80.5511,80.3672,-7.0379
80.6821,80.6907,-6.7921
80.3181,80.5176,-7.0826
79.6636,80.0083,-7.7120
-80.3672,80.5511,-7.0379
-80.6907,80.6821,-6.7921
-80.5176,80.3181,-7.0826
-80.0083,79.6636,-7.7120
-80.5511,-80.3672,-7.0379
-80.6821,-80.6907,-6.7921
-80.3181,-80.5176,-7.0826
-79.6636,-80.0083,-7.7120
80.3672,-80.5511,-7.0379
80.6907,-80.6821,-6.7921
80.5176,-80.3181,-7.0826
80.0083,-79.6636,-7.7120
80.0083,0.3364,-7.7120
79.5887,0.7560,-8.2120
80.1316,79.9476,-7.5379
80.2625,80.2712,-7.2921
79.8986,80.0981,-7.5826
79.2440,79.5887,-8.2120
-79.9476,80.1316,-7.5379
-80.2712,80.2625,-7.2921
-80.0981,79.8986,-7.5826
-79.5887,79.2440,-8.2120
-80.1316,-79.9476,-7.5379
-80.2625,-80.2712,-7.2921
-79.8986,-80.0981,-7.5826
-79.2440,-79.5887,-8.2120
79.9476,-80.1316,-7.5379
80.2712,-80.2625,-7.2921
80.0981,-79.8986,-7.5826
79.5887,-79.2440,-8.2120
79.5887,0.7560,-8.2120
79.1692,1.1755,-8.7120
79.7120,79.5281,-8.0379
79.8430,79.8516,-7.7921
79.4790,79.6785,-8.0826
78.8245,79.1692,-8.7120
-79.5281,79.7120,-8.0379
-79.8516,79.8430,-7.7921
-79.6785,79.4790,-8.0826
-79.1692,78.8245,-8.7120
-79.7120,-79.5281,-8.0379
-79.8430,-79.8516,-7.7921
-79.4790,-79.6785,-8.0826
-78.8245,-79.1692,-8.7120
79.5281,-79.7120,-8.0379
79.8516,-79.8430,-7.7921
79.6785,-79.4790,-8.0826
79.1692,-78.8245,-8.7120
79.1692,1.1755,-8.7120
78.7496,-0.9049,-9.2120
79.2924,79.1085,-8.5379
79.4234,79.4321,-8.2921
79.0595,79.2590,-8.5826
78.4049,78.7496,-9.2120
-79.1085,79.2924,-8.5379
-79.4321,79.4234,-8.2921
-79.2590,79.0595,-8.5826
-78.7496,78.4049,-9.2120
-79.2924,-79.1085,-8.5379
-79.4234,-79.4321,-8.2921
-79.0595,-79.2590,-8.5826
-78.4049,-78.7496,-9.2120
79.1085,-79.2924,-8.5379
79.4321,-79.4234,-8.2921
79.2590,-79.0595,-8.5826
78.7496,-78.4049,-9.2120
78.7496,-0.9049,-9.2120
78.3301,-0.4854,-9.7120
78.8729,78.6890,-9.0379
79.0039,79.0125,-8.7921
78.6399,78.8394,-9.0826
77.9854,78.3301,-9.7120
-78.6890,78.8729,-9.0379
-79.0125,79.0039,-8.7921
-78.8394,78.6399,-9.0826
-78.3301,77.9854,-9.7120
-78.8729,-78.6890,-9.0379
-79.0039,-79.0125,-8.7921
-78.6399,-78.8394,-9.0826
-77.9854,-78.3301,-9.7120
78.6890,-78.8729,-9.0379
79.0125,-79.0039,-8.7921
78.8394,-78.6399,-9.0826
78.3301,-77.9854,-9.7120
78.3301,-0.4854,-9.7120
77.9105,-0.0658,-10.2120
78.4534,78.2694,-9.5379
78.5843,78.5930,-9.2921
78.2204,78.4199,-9.5826
77.5658,77.9105,-10.2120
-78.2694,78.4534,-9.5379
-78.5930,78.5843,-9.2921
-78.4199,78.2204,-9.5826
-77.9105,77.5658,-10.2120
-78.4534,-78.2694,-9.5379
-78.5843,-78.5930,-9.2921
-78.2204,-78.4199,-9.5826
-77.5658,-77.9105,-10.2120
78.2694,-78.4534,-9.5379
78.5930,-78.5843,-9.2921
78.4199,-78.2204,-9.5826
77.9105,-77.5658,-10.2120
77.9105,-0.0658,-10.2120
77.4910,0.3537,-10.7120
78.0338,77.8499,-10.0379
78.1648,78.1734,-9.7921
77.8008,78.0003,-10.0826
77.1463,77.4910,-10.7120
-77.8499,78.0338,-10.0379
-78.1734,78.1648,-9.7921
-78.0003,77.8008,-10.0826
-77.4910,77.1463,-10.7120
-78.0338,-77.8499,-10.0379
-78.1648,-78.1734,-9.7921
-77.8008,-78.0003,-10.0826
-77.1463,-77.4910,-10.7120
77.8499,-78.0338,-10.0379
78.1734,-78.1648,-9.7921
78.0003,-77.8008,-10.0826
77.4910,-77.1463,-10.7120
77.4910,0.3537,-10.7120
77.0714,0.7733,-11.2120
77.6143,77.4303,-10.5379
77.7452,77.7539,-10.2921
77.3813,77.5808,-10.5826
76.7267,77.0714,-11.2120
-77.4303,77.6143,-10.5379
-77.7539,77.7452,-10.2921
-77.5808,77.3813,-10.5826
-77.0714,76.7267,-11.2120
-77.6143,-77.4303,-10.5379
-77.7452,-77.7539,-10.2921
-77.3813,-77.5808,-10.5826
-76.7267,-77.0714,-11.2120
77.4303,-77.6143,-10.5379
77.7539,-77.7452,-10.2921
77.5808,-77.3813,-10.5826
77.0714,-76.7267,-11.2120
77.0714,0.7733,-11.2120
76.6519,1.1928,-11.7120
77.1947,77.0108,-11.0379
77.3257,77.3343,-10.7921
76.9617,77.1612,-11.0826
76.3072,76.6519,-11.7120
-77.0108,77.1947,-11.0379
-77.3343,77.3257,-10.7921
-77.1612,76.9617,-11.0826
-76.6519,76.3072,-11.7120
-77.1947,-77.0108,-11.0379
-77.3257,-77.3343,-10.7921
-76.9617,-77.1612,-11.0826
-76.3072,-76.6519,-11.7120
77.0108,-77.1947,-11.0379
77.3343,-77.3257,-10.7921
77.1612,-76.9617,-11.0826
76.6519,-76.3072,-11.7120
76.6519,1.1928,-11.7120
